question,answer,label
"가장 최근에 배운 기술은 무엇인가요?","최근에는 Docker Compose를 이용한 서비스 통합 배포를 공부했습니다. 여러 컨테이너가 어떻게 네트워크로 연결되는지를 실습하며 이해도를 높였습니다.","continue"
"가장 최근에 배운 기술은 무엇인가요?","Git Hub 이슈 전략을 사용해서 팀원들과의 협업 능력을 키웠습니다. 각자 추가한 기능을 정리하여 브랜치를 합치는 방식으로 진행했습니다.","continue"
"가장 최근에 배운 기술은 무엇인가요?","Google MediaPipe를 사용해서 사용자의 시선처리, 고개 움직임 트래킹을 분석해서 점수를 부여하는 기능을 구현했습니다. ","continue"
"가장 최근에 배운 기술은 무엇인가요?","요즘 친구들이 다들 Docker 쓴다고 해서 저도 조금 봤습니다.","terminate"
"가장 최근에 배운 기술은 무엇인가요?","기술은 모르겠고 VS Code 사용해봤습니다.","terminate"
"가장 최근에 배운 기술은 무엇인가요?","물을 연속으로 3잔 마시는 기술을 배웠습니다.","terminate"
"책을 자주 읽는 편인가요?","매일 30분씩 독서를 습관처럼 유지하고 있습니다. 최근에는 '왜 우리는 잠을 자야 할까'를 읽으며 수면이 작업 효율에 어떤 영향을 주는지 깊이 느꼈습니다.","continue"
"책을 자주 읽는 편인가요?","자기 전 30분 독서하는 습관을 들이고 있습니다. 자기 전 독서를 하다보면 책의 내용에 대한 제 생각에 대한 정리를 할 수 있기 때문입니다.","continue"
"책을 자주 읽는 편인가요?","항상 시간이 날 때마다 독서를 합니다. 대중교통을 이용할 때도 독서를 하고, 자기 전에도 독서를 하며 국어 능력을 키우고 있습니다.","continue"
"책을 자주 읽는 편인가요?","시간 날 때 가끔 읽습니다. 최근엔 자기계발서 위주로 봤던 것 같아요.","terminate"
"책을 자주 읽는 편인가요?","책을 5분동안 집중해서 읽는 능력을 키웠습니다.","terminate"
"책을 자주 읽는 편인가요?","책을 싫어합니다.","terminate"
